tweet_id,tweet_date,contributor,lat,lon,tweet_url,media_url_1,media_url_2,media_url_3,media_url_4,type,year_built,year_built_ce,address,poi
T805224929218048000,2016-12-04,tsukimachito,35.5207830000,139.5376281738,https://t.co/p02FBFJyj8,https://pbs.twimg.com/media/Cyy7yzIUsAAVLVd.jpg,,,,"二十三夜塔","","","神奈川県横浜市緑区小山町","日枝神社"
T805230133384658944,2016-12-04,tsukimachito,35.5272060000,139.5406036377,https://t.co/LqCcG22YYw,https://pbs.twimg.com/media/CyzAhlcUcAA9wgU.jpg,,,,"二十三夜塔","","","神奈川県横浜市緑区北八朔町","十二神社"
T805235055274508288,2016-12-04,tsukimachito,35.5288059000,139.5464172363,https://t.co/UKUF3asNRM,https://pbs.twimg.com/media/CyzFAG7VIAANUDF.jpg,,,,"二十三夜塔","","","神奈川県横浜市都筑区川和町",""
T805241527802826752,2016-12-04,tsukimachito,35.5349700000,139.5457916260,https://t.co/ZxzF4XfHLv,https://pbs.twimg.com/media/CyzK44zVQAAYZSm.jpg,,,,"二十三夜塔","文政九年","1826","神奈川県横浜市都筑区川和町","川和高校入口交差点"
T805243629946040320,2016-12-04,tsukimachito,35.5330487000,139.5479583740,https://t.co/vpYIzH2162,https://pbs.twimg.com/media/CyzMzAtUoAAVD8y.jpg,,,,"二十三夜塔","","","神奈川県横浜市都筑区川和町","八幡神社"
T805248306741809152,2016-12-04,tsukimachito,35.5258745000,139.5506439209,https://t.co/pxda0IJke2,https://pbs.twimg.com/media/CyzRDbDUsAARgf3.jpg,,,,"二十三夜塔","","","神奈川県横浜市都筑区川和町","山王神社"
T805259602644172800,2016-12-04,tsukimachito,35.5418175000,139.5366058350,https://t.co/VyMUFwDh4U,https://pbs.twimg.com/media/CyzbVBsUQAA1ny_.jpg,,,,"二十六夜塔","","","神奈川県横浜市青葉区千草台","杉山神社"
T805650351764320256,2016-12-05,tsukimachito,35.5173950000,139.5298004150,https://t.co/bz8zAO3thw,https://pbs.twimg.com/media/Cy4-tfuVIAADeRg.jpg,,,,"二十三夜塔","","","神奈川県横浜市緑区三保町","旧城寺"
T806371106110271488,2016-12-07,tsukimachito,35.5173210000,139.5588684082,https://t.co/BSqHboVJcX,https://pbs.twimg.com/media/CzDOO6FWEAAv1cB.jpg,,,,"二十三夜塔","","","神奈川県横浜市都筑区佐江戸町",""
T806676811018948608,2016-12-08,tsukimachito,35.5261140000,139.5803985596,https://t.co/Ufqkg15fMK,https://pbs.twimg.com/media/CzHkRMaVQAACTf_.jpg,,,,"(二十)三夜塔","","","神奈川県横浜市都筑区東方町","東方天満宮"
T807048857842388992,2016-12-09,tsukimachito,35.6643889000,139.3296661377,https://t.co/qbNLNDAFVn,https://pbs.twimg.com/media/CzM2pf2UkAACdsZ.jpg,,,,"二十三夜塔","","","東京都八王子市大横町","宝樹寺"
T807784044754702336,2016-12-11,tsukimachito,35.5384340000,139.5746002197,https://t.co/wA0Q52lRcc,https://pbs.twimg.com/media/CzXTTDCVEAAMLcw.jpg,,,,"二十六夜塔","","","神奈川県横浜市都筑区茅ケ崎南四丁目","自性院"
T807805259275874305,2016-12-11,tsukimachito,35.5190039000,139.5466308594,https://t.co/wK9NkCVFEU,https://pbs.twimg.com/media/CzXmj6fUUAIw5hK.jpg,,,,"二十三夜塔","","","神奈川県横浜市緑区青砥町","杉山神社"
T807805900572397568,2016-12-11,tsukimachito,35.5190039000,139.5466308594,https://t.co/w12T4IwaJP,https://pbs.twimg.com/media/CzXnI0XUAAAuS2e.jpg,,,,"二十三夜塔","","","神奈川県横浜市緑区青砥町","杉山神社"
